User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12201,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 10:35:07,
ID1: Nalm6wt_AxB-FDA-A-01_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,208079
A,2,Sample X2,208641
A,3,Sample X3,206514
A,4,Sample X4,205818
A,5,Sample X5,200691
A,6,Sample X6,204841
A,7,Sample X7,154296
A,8,Sample X8,201984
A,9,Sample X9,186660
A,10,Sample X10,198804
A,11,Sample X11,197718
A,12,Sample X12,200622
A,13,Sample X13,207452
A,14,Sample X14,205941
A,15,Sample X15,196892
A,16,Sample X16,200570
A,17,Sample X17,197484
A,18,Sample X18,201540
A,19,Sample X19,197579
A,20,Sample X20,199444
A,21,Sample X21,196772
A,22,Sample X22,200602
A,23,Sample X23,196901
A,24,Sample X24,201233
B,1,Sample X25,203760
B,2,Sample X26,211218
B,3,Sample X27,120418
B,4,Sample X28,206072
B,5,Sample X29,203128
B,6,Sample X30,202575
B,7,Sample X31,197416
B,8,Sample X32,199254
B,9,Sample X33,198246
B,10,Sample X34,201416
B,11,Sample X35,198565
B,12,Sample X36,201022
B,13,Sample X37,203346
B,14,Sample X38,204953
B,15,Sample X39,198417
B,16,Sample X40,201522
B,17,Sample X41,198499
B,18,Sample X42,200418
B,19,Sample X43,201926
B,20,Sample X44,202602
B,21,Sample X45,200943
B,22,Sample X46,201792
B,23,Sample X47,200416
B,24,Sample X48,197362
C,1,Sample X49,199609
C,2,Sample X50,207203
C,3,Sample X51,201132
C,4,Sample X52,200308
C,5,Sample X53,208836
C,6,Sample X54,31274
C,7,Sample X55,27861
C,8,Sample X56,27717
C,9,Sample X57,28653
C,10,Sample X58,193193
C,11,Sample X59,28544
C,12,Sample X60,198064
C,13,Sample X61,194470
C,14,Sample X62,194208
C,15,Sample X63,198628
C,16,Sample X64,194168
C,17,Sample X65,194682
C,18,Sample X66,197538
C,19,Sample X67,196196
C,20,Sample X68,197090
C,21,Sample X69,197223
C,22,Sample X70,198184
C,23,Sample X71,198340
C,24,Sample X72,194054
D,1,Sample X73,201836
D,2,Sample X74,206633
D,3,Sample X75,207697
D,4,Sample X76,198414
D,5,Sample X77,202875
D,6,Sample X78,197360
D,7,Sample X79,85086
D,8,Sample X80,192974
D,9,Sample X81,192832
D,10,Sample X82,195627
D,11,Sample X83,193374
D,12,Sample X84,194595
D,13,Sample X85,192378
D,14,Sample X86,191806
D,15,Sample X87,192727
D,16,Sample X88,192244
D,17,Sample X89,192529
D,18,Sample X90,194430
D,19,Sample X91,193392
D,20,Sample X92,195029
D,21,Sample X93,196071
D,22,Sample X94,28090
D,23,Sample X95,60109
D,24,Sample X96,40710
E,1,Sample X97,196034
E,2,Sample X98,202656
E,3,Sample X99,197477
E,4,Sample X100,196322
E,5,Sample X101,29356
E,6,Sample X102,30194
E,7,Sample X103,191880
E,8,Sample X104,194991
E,9,Sample X105,32018
E,10,Sample X106,202480
E,11,Sample X107,202214
E,12,Sample X108,202277
E,13,Sample X109,193465
E,14,Sample X110,79989
E,15,Sample X111,191499
E,16,Sample X112,192732
E,17,Sample X113,195651
E,18,Sample X114,191483
E,19,Sample X115,105679
E,20,Sample X116,161234
E,21,Sample X117,190644
E,22,Sample X118,192505
E,23,Sample X119,55706
E,24,Sample X120,45191
F,1,Sample X121,29283
F,2,Sample X122,203188
F,3,Sample X123,197728
F,4,Sample X124,193388
F,5,Sample X125,30214
F,6,Sample X126,30386
F,7,Sample X127,192808
F,8,Sample X128,194014
F,9,Sample X129,186704
F,10,Sample X130,196661
F,11,Sample X131,198554
F,12,Sample X132,193551
F,13,Sample X133,195996
F,14,Sample X134,194274
F,15,Sample X135,190395
F,16,Sample X136,192453
F,17,Sample X137,191214
F,18,Sample X138,192059
F,19,Sample X139,186689
F,20,Sample X140,191519
F,21,Sample X141,28340
F,22,Sample X142,33372
F,23,Sample X143,47511
F,24,Sample X144,44170
G,1,Sample X145,192588
G,2,Sample X146,200396
G,3,Sample X147,193256
G,4,Sample X148,129699
G,5,Sample X149,29633
G,6,Sample X150,149022
G,7,Sample X151,187400
G,8,Sample X152,192221
G,9,Sample X153,32574
G,10,Sample X154,31994
G,11,Sample X155,191633
G,12,Sample X156,128842
G,13,Sample X157,188818
G,14,Sample X158,189520
G,15,Sample X159,116728
G,16,Sample X160,76815
G,17,Sample X161,190244
G,18,Sample X162,192116
G,19,Sample X163,166196
G,20,Sample X164,191058
G,21,Sample X165,28158
G,22,Sample X166,189391
G,23,Sample X167,27431
