User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12208,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 11:01:04,
ID1: Nalm6wt_AxB-FDA-B-04_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,204807
A,2,Sample X2,205730
A,3,Sample X3,201678
A,4,Sample X4,201115
A,5,Sample X5,196773
A,6,Sample X6,168488
A,7,Sample X7,195600
A,8,Sample X8,160335
A,9,Sample X9,203548
A,10,Sample X10,200425
A,11,Sample X11,201889
A,12,Sample X12,28528
A,13,Sample X13,143234
A,14,Sample X14,200846
A,15,Sample X15,30232
A,16,Sample X16,202471
A,17,Sample X17,157863
A,18,Sample X18,203318
A,19,Sample X19,205672
A,20,Sample X20,201896
A,21,Sample X21,193186
A,22,Sample X22,203079
A,23,Sample X23,200313
A,24,Sample X24,205458
B,1,Sample X25,204489
B,2,Sample X26,205958
B,3,Sample X27,206202
B,4,Sample X28,203554
B,5,Sample X29,186086
B,6,Sample X30,173244
B,7,Sample X31,179361
B,8,Sample X32,154482
B,9,Sample X33,202338
B,10,Sample X34,197876
B,11,Sample X35,28225
B,12,Sample X36,28078
B,13,Sample X37,185270
B,14,Sample X38,193605
B,15,Sample X39,43590
B,16,Sample X40,193348
B,17,Sample X41,198478
B,18,Sample X42,203889
B,19,Sample X43,203697
B,20,Sample X44,203489
B,21,Sample X45,203314
B,22,Sample X46,200758
B,23,Sample X47,204269
B,24,Sample X48,204723
C,1,Sample X49,202910
C,2,Sample X50,206757
C,3,Sample X51,205083
C,4,Sample X52,206026
C,5,Sample X53,201871
C,6,Sample X54,197015
C,7,Sample X55,167882
C,8,Sample X56,200870
C,9,Sample X57,198440
C,10,Sample X58,198526
C,11,Sample X59,32721
C,12,Sample X60,130054
C,13,Sample X61,193196
C,14,Sample X62,194175
C,15,Sample X63,30116
C,16,Sample X64,31214
C,17,Sample X65,30152
C,18,Sample X66,31014
C,19,Sample X67,203166
C,20,Sample X68,202335
C,21,Sample X69,200068
C,22,Sample X70,202038
C,23,Sample X71,200365
C,24,Sample X72,200802
D,1,Sample X73,205318
D,2,Sample X74,202026
D,3,Sample X75,197922
D,4,Sample X76,192116
D,5,Sample X77,193995
D,6,Sample X78,210577
D,7,Sample X79,196610
D,8,Sample X80,197048
D,9,Sample X81,195414
D,10,Sample X82,194981
D,11,Sample X83,35563
D,12,Sample X84,29394
D,13,Sample X85,189572
D,14,Sample X86,184642
D,15,Sample X87,31138
D,16,Sample X88,186735
D,17,Sample X89,30969
D,18,Sample X90,134966
D,19,Sample X91,199162
D,20,Sample X92,195172
D,21,Sample X93,201004
D,22,Sample X94,200216
D,23,Sample X95,49804
D,24,Sample X96,108381
E,1,Sample X97,30736
E,2,Sample X98,27557
E,3,Sample X99,27787
E,4,Sample X100,195472
E,5,Sample X101,199607
E,6,Sample X102,200188
E,7,Sample X103,195394
E,8,Sample X104,192478
E,9,Sample X105,173462
E,10,Sample X106,197646
E,11,Sample X107,196174
E,12,Sample X108,180952
E,13,Sample X109,46271
E,14,Sample X110,186780
E,15,Sample X111,193213
E,16,Sample X112,192573
E,17,Sample X113,194595
E,18,Sample X114,196106
E,19,Sample X115,194186
E,20,Sample X116,197778
E,21,Sample X117,199441
E,22,Sample X118,198668
E,23,Sample X119,40648
E,24,Sample X120,38401
F,1,Sample X121,28420
F,2,Sample X122,31981
F,3,Sample X123,28056
F,4,Sample X124,184168
F,5,Sample X125,28047
F,6,Sample X126,77052
F,7,Sample X127,198195
F,8,Sample X128,196650
F,9,Sample X129,188164
F,10,Sample X130,230404
F,11,Sample X131,201815
F,12,Sample X132,192822
F,13,Sample X133,186087
F,14,Sample X134,179579
F,15,Sample X135,193023
F,16,Sample X136,192547
F,17,Sample X137,197806
F,18,Sample X138,195000
F,19,Sample X139,196451
F,20,Sample X140,192774
F,21,Sample X141,198834
F,22,Sample X142,195242
F,23,Sample X143,39673
F,24,Sample X144,41866
G,1,Sample X145,199738
G,2,Sample X146,202490
G,3,Sample X147,151483
G,4,Sample X148,194101
G,5,Sample X149,192530
G,6,Sample X150,191476
G,7,Sample X151,193350
G,8,Sample X152,199667
G,9,Sample X153,192916
G,10,Sample X154,175714
G,11,Sample X155,195088
G,12,Sample X156,191145
G,13,Sample X157,193937
G,14,Sample X158,197078
G,15,Sample X159,37396
G,16,Sample X160,194111
G,17,Sample X161,192577
G,18,Sample X162,198836
G,19,Sample X163,196798
G,20,Sample X164,197354
G,21,Sample X165,194019
G,22,Sample X166,197950
G,23,Sample X167,27567
G,24,Sample X168,27615
H,1,Sample X169,200549
H,2,Sample X170,199095
H,3,Sample X171,200762
H,4,Sample X172,195629
H,5,Sample X173,193948
H,6,Sample X174,191204
H,7,Sample X175,191539
H,8,Sample X176,196020
H,9,Sample X177,199453
H,10,Sample X178,194233
H,11,Sample X179,193368
H,12,Sample X180,190301
H,13,Sample X181,193766
H,14,Sample X182,191936
H,15,Sample X183,191792
H,16,Sample X184,187392
H,17,Sample X185,195362
H,18,Sample X186,195800
H,19,Sample X187,195681
H,20,Sample X188,193449
H,21,Sample X189,198169
H,22,Sample X190,192884
H,23,Sample X191,27102
H,24,Sample X192,25732
I,1,Sample X193,202323
I,2,Sample X194,201589
I,3,Sample X195,199692
I,4,Sample X196,196887
I,5,Sample X197,195254
I,6,Sample X198,194175
I,7,Sample X199,190008
I,8,Sample X200,194704
I,9,Sample X201,196137
I,10,Sample X202,198372
I,11,Sample X203,192744
I,12,Sample X204,194615
I,13,Sample X205,182559
I,14,Sample X206,188074
I,15,Sample X207,28414
I,16,Sample X208,197154
I,17,Sample X209,193920
I,18,Sample X210,196767
I,19,Sample X211,194185
I,20,Sample X212,195451
I,21,Sample X213,159887
I,22,Sample X214,199223
I,23,Sample X215,27370
I,24,Sample X216,27213
J,1,Sample X217,201570
J,2,Sample X218,200730
J,3,Sample X219,195560
J,4,Sample X220,186451
J,5,Sample X221,194375
J,6,Sample X222,193177
J,7,Sample X223,192865
J,8,Sample X224,191451
J,9,Sample X225,192826
J,10,Sample X226,225547
J,11,Sample X227,198130
J,12,Sample X228,192026
J,13,Sample X229,182937
J,14,Sample X230,200239
J,15,Sample X231,28844
J,16,Sample X232,195997
J,17,Sample X233,147824
J,18,Sample X234,190947
J,19,Sample X235,192088
J,20,Sample X236,189549
J,21,Sample X237,190596
J,22,Sample X238,202433
J,23,Sample X239,27016
J,24,Sample X240,26640
K,1,Sample X241,199292
K,2,Sample X242,197462
K,3,Sample X243,196699
K,4,Sample X244,191343
K,5,Sample X245,193166
K,6,Sample X246,196408
K,7,Sample X247,192561
K,8,Sample X248,192025
K,9,Sample X249,194068
K,10,Sample X250,82429
K,11,Sample X251,63891
K,12,Sample X252,198052
K,13,Sample X253,192529
K,14,Sample X254,195518
K,15,Sample X255,193070
K,16,Sample X256,186398
K,17,Sample X257,197658
K,18,Sample X258,197860
K,19,Sample X259,195521
K,20,Sample X260,198482
K,21,Sample X261,199424
K,22,Sample X262,198439
K,23,Sample X263,27110
K,24,Sample X264,27263
L,1,Sample X265,201046
L,2,Sample X266,197838
L,3,Sample X267,186948
L,4,Sample X268,194673
L,5,Sample X269,194405
L,6,Sample X270,191575
L,7,Sample X271,192540
L,8,Sample X272,190299
L,9,Sample X273,192699
L,10,Sample X274,168229
L,11,Sample X275,193457
L,12,Sample X276,194048
L,13,Sample X277,198512
L,14,Sample X278,198163
L,15,Sample X279,232385
L,16,Sample X280,192070
L,17,Sample X281,187466
L,18,Sample X282,213456
L,19,Sample X283,204008
L,20,Sample X284,200660
L,21,Sample X285,199770
L,22,Sample X286,196354
L,23,Sample X287,28554
L,24,Sample X288,27837
M,1,Sample X289,184642
M,2,Sample X290,194616
M,3,Sample X291,196522
M,4,Sample X292,194501
M,5,Sample X293,193556
M,6,Sample X294,195069
M,7,Sample X295,191818
M,8,Sample X296,192711
M,9,Sample X297,193444
M,10,Sample X298,196755
M,11,Sample X299,197938
M,12,Sample X300,200598
M,13,Sample X301,202114
M,14,Sample X302,199422
M,15,Sample X303,195498
M,16,Sample X304,195508
M,17,Sample X305,195146
M,18,Sample X306,202159
M,19,Sample X307,203236
M,20,Sample X308,203833
M,21,Sample X309,199848
M,22,Sample X310,200829
M,23,Sample X311,29828
M,24,Sample X312,29718
N,1,Sample X313,185772
N,2,Sample X314,196552
N,3,Sample X315,200356
N,4,Sample X316,196694
N,5,Sample X317,194856
N,6,Sample X318,194657
N,7,Sample X319,193431
N,8,Sample X320,193206
N,9,Sample X321,196200
N,10,Sample X322,196591
N,11,Sample X323,195544
N,12,Sample X324,224602
N,13,Sample X325,185334
N,14,Sample X326,223146
N,15,Sample X327,199315
N,16,Sample X328,198501
N,17,Sample X329,199584
N,18,Sample X330,199704
N,19,Sample X331,203917
N,20,Sample X332,201014
N,21,Sample X333,203258
N,22,Sample X334,201450
N,23,Sample X335,196440
N,24,Sample X336,192618
O,1,Sample X337,186863
O,2,Sample X338,199265
O,3,Sample X339,198561
O,4,Sample X340,197972
O,5,Sample X341,198152
O,6,Sample X342,199564
O,7,Sample X343,197832
O,8,Sample X344,27094
O,9,Sample X345,200199
O,10,Sample X346,201912
O,11,Sample X347,203582
O,12,Sample X348,202592
O,13,Sample X349,201402
O,14,Sample X350,204059
O,15,Sample X351,202943
O,16,Sample X352,209132
O,17,Sample X353,204108
O,18,Sample X354,203566
O,19,Sample X355,203922
O,20,Sample X356,206675
O,21,Sample X357,206542
O,22,Sample X358,208328
O,23,Sample X359,201301
O,24,Sample X360,199262
P,1,Sample X361,198933
P,2,Sample X362,195955
P,3,Sample X363,197231
P,4,Sample X364,198387
P,5,Sample X365,197321
P,6,Sample X366,196414
P,7,Sample X367,187238
P,8,Sample X368,103180
P,9,Sample X369,199344
P,10,Sample X370,201644
P,11,Sample X371,205963
P,12,Sample X372,205373
P,13,Sample X373,200318
P,14,Sample X374,26872
P,15,Sample X375,204943
P,16,Sample X376,206386
P,17,Sample X377,206187
P,18,Sample X378,200631
P,19,Sample X379,206282
P,20,Sample X380,202616
P,21,Sample X381,208842
P,22,Sample X382,206346
P,23,Sample X383,201964
P,24,Sample X384,200957
