User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12212,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 11:12:47,
ID1: Nalm6wt_AxB-FDA-C-04_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,209647
A,2,Sample X2,211271
A,3,Sample X3,213285
A,4,Sample X4,220660
A,5,Sample X5,211656
A,6,Sample X6,211856
A,7,Sample X7,202384
A,8,Sample X8,29949
A,9,Sample X9,209022
A,10,Sample X10,213786
A,11,Sample X11,213165
A,12,Sample X12,243556
A,13,Sample X13,214773
A,14,Sample X14,212713
A,15,Sample X15,205556
A,16,Sample X16,212462
A,17,Sample X17,208547
A,18,Sample X18,207056
A,19,Sample X19,205228
A,20,Sample X20,205646
A,21,Sample X21,205997
A,22,Sample X22,204032
A,23,Sample X23,201472
A,24,Sample X24,200485
B,1,Sample X25,209022
B,2,Sample X26,211216
B,3,Sample X27,214359
B,4,Sample X28,210772
B,5,Sample X29,207324
B,6,Sample X30,198976
B,7,Sample X31,201828
B,8,Sample X32,41089
B,9,Sample X33,205016
B,10,Sample X34,207201
B,11,Sample X35,204874
B,12,Sample X36,204208
B,13,Sample X37,202814
B,14,Sample X38,243873
B,15,Sample X39,202252
B,16,Sample X40,203656
B,17,Sample X41,201397
B,18,Sample X42,202432
B,19,Sample X43,200444
B,20,Sample X44,199830
B,21,Sample X45,202626
B,22,Sample X46,200762
B,23,Sample X47,202478
B,24,Sample X48,200645
C,1,Sample X49,209700
C,2,Sample X50,213632
C,3,Sample X51,213491
C,4,Sample X52,211225
C,5,Sample X53,209242
C,6,Sample X54,204350
C,7,Sample X55,201262
C,8,Sample X56,29135
C,9,Sample X57,202695
C,10,Sample X58,201206
C,11,Sample X59,199108
C,12,Sample X60,205757
C,13,Sample X61,200889
C,14,Sample X62,201165
C,15,Sample X63,202343
C,16,Sample X64,198693
C,17,Sample X65,198179
