User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12215,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:21:53,
ID1: Nalm6wt_AxB-FDA-D-03_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,211865
A,2,Sample X2,216866
A,3,Sample X3,217724
A,4,Sample X4,217314
A,5,Sample X5,216160
A,6,Sample X6,195095
A,7,Sample X7,216536
A,8,Sample X8,215077
A,9,Sample X9,217410
A,10,Sample X10,219492
A,11,Sample X11,218901
A,12,Sample X12,57608
A,13,Sample X13,226064
A,14,Sample X14,226718
A,15,Sample X15,217683
A,16,Sample X16,216003
A,17,Sample X17,246897
A,18,Sample X18,224229
A,19,Sample X19,215533
A,20,Sample X20,214591
A,21,Sample X21,211169
A,22,Sample X22,208110
A,23,Sample X23,210606
A,24,Sample X24,207641
B,1,Sample X25,220970
B,2,Sample X26,218467
B,3,Sample X27,224189
B,4,Sample X28,223193
B,5,Sample X29,219501
B,6,Sample X30,218442
B,7,Sample X31,209037
B,8,Sample X32,211529
B,9,Sample X33,216252
B,10,Sample X34,218600
B,11,Sample X35,218322
B,12,Sample X36,227482
B,13,Sample X37,222087
B,14,Sample X38,222424
B,15,Sample X39,218209
B,16,Sample X40,217840
B,17,Sample X41,216670
B,18,Sample X42,216337
B,19,Sample X43,217074
B,20,Sample X44,216117
B,21,Sample X45,215605
B,22,Sample X46,216188
B,23,Sample X47,211769
B,24,Sample X48,206573
C,1,Sample X49,212240
C,2,Sample X50,220754
C,3,Sample X51,219063
C,4,Sample X52,217640
C,5,Sample X53,219229
C,6,Sample X54,217732
C,7,Sample X55,37124
C,8,Sample X56,208876
C,9,Sample X57,214809
C,10,Sample X58,212404
C,11,Sample X59,214396
C,12,Sample X60,213736
C,13,Sample X61,211149
C,14,Sample X62,212882
C,15,Sample X63,208667
C,16,Sample X64,208734
C,17,Sample X65,204491
C,18,Sample X66,207514
C,19,Sample X67,143984
C,20,Sample X68,143410
C,21,Sample X69,210146
C,22,Sample X70,211414
C,23,Sample X71,208371
C,24,Sample X72,202034
D,1,Sample X73,214155
D,2,Sample X74,222194
D,3,Sample X75,218167
D,4,Sample X76,216142
D,5,Sample X77,218342
D,6,Sample X78,232065
D,7,Sample X79,210546
D,8,Sample X80,209122
D,9,Sample X81,208503
D,10,Sample X82,209448
D,11,Sample X83,208405
D,12,Sample X84,208786
D,13,Sample X85,208200
D,14,Sample X86,207611
D,15,Sample X87,204713
D,16,Sample X88,204890
D,17,Sample X89,199602
D,18,Sample X90,203217
D,19,Sample X91,141675
D,20,Sample X92,138756
D,21,Sample X93,208687
D,22,Sample X94,208192
D,23,Sample X95,31932
D,24,Sample X96,59874
E,1,Sample X97,211043
E,2,Sample X98,218872
E,3,Sample X99,220070
E,4,Sample X100,217364
E,5,Sample X101,210427
E,6,Sample X102,207796
E,7,Sample X103,205597
E,8,Sample X104,204659
E,9,Sample X105,204472
E,10,Sample X106,206280
E,11,Sample X107,212934
E,12,Sample X108,215053
E,13,Sample X109,200490
E,14,Sample X110,199874
E,15,Sample X111,181455
E,16,Sample X112,180809
E,17,Sample X113,150449
E,18,Sample X114,30733
E,19,Sample X115,34595
E,20,Sample X116,38614
E,21,Sample X117,196255
E,22,Sample X118,196303
E,23,Sample X119,36696
E,24,Sample X120,29751
F,1,Sample X121,214556
F,2,Sample X122,218986
F,3,Sample X123,222139
F,4,Sample X124,218432
F,5,Sample X125,208610
F,6,Sample X126,207091
F,7,Sample X127,204025
F,8,Sample X128,202794
F,9,Sample X129,202430
F,10,Sample X130,31705
F,11,Sample X131,206146
F,12,Sample X132,206008
F,13,Sample X133,196434
F,14,Sample X134,195303
F,15,Sample X135,175069
F,16,Sample X136,181195
F,17,Sample X137,163154
F,18,Sample X138,161836
F,19,Sample X139,44756
F,20,Sample X140,40888
F,21,Sample X141,191188
F,22,Sample X142,164435
F,23,Sample X143,34115
F,24,Sample X144,29398
G,1,Sample X145,207660
G,2,Sample X146,217370
G,3,Sample X147,212109
G,4,Sample X148,209883
G,5,Sample X149,200706
G,6,Sample X150,174273
G,7,Sample X151,199423
G,8,Sample X152,202726
G,9,Sample X153,204616
G,10,Sample X154,198770
G,11,Sample X155,189646
G,12,Sample X156,190870
G,13,Sample X157,178840
G,14,Sample X158,176788
G,15,Sample X159,185527
G,16,Sample X160,188392
G,17,Sample X161,178950
G,18,Sample X162,182383
G,19,Sample X163,194334
G,20,Sample X164,198828
G,21,Sample X165,199393
G,22,Sample X166,201993
G,23,Sample X167,27402
G,24,Sample X168,27251
H,1,Sample X169,206855
H,2,Sample X170,218495
H,3,Sample X171,211632
H,4,Sample X172,208996
H,5,Sample X173,34374
H,6,Sample X174,41834
H,7,Sample X175,195681
H,8,Sample X176,194531
H,9,Sample X177,198431
H,10,Sample X178,200132
H,11,Sample X179,188075
H,12,Sample X180,187829
H,13,Sample X181,190565
H,14,Sample X182,185602
H,15,Sample X183,184647
H,16,Sample X184,185436
H,17,Sample X185,176870
H,18,Sample X186,187228
H,19,Sample X187,195534
H,20,Sample X188,196310
H,21,Sample X189,200824
H,22,Sample X190,202498
H,23,Sample X191,27260
H,24,Sample X192,26846
I,1,Sample X193,205485
I,2,Sample X194,212894
I,3,Sample X195,213010
I,4,Sample X196,207530
I,5,Sample X197,201408
I,6,Sample X198,198504
I,7,Sample X199,31165
I,8,Sample X200,28974
I,9,Sample X201,189373
I,10,Sample X202,191363
I,11,Sample X203,170950
I,12,Sample X204,190729
I,13,Sample X205,185402
I,14,Sample X206,183536
I,15,Sample X207,188815
I,16,Sample X208,186123
I,17,Sample X209,189396
I,18,Sample X210,193109
I,19,Sample X211,194286
I,20,Sample X212,198152
I,21,Sample X213,208371
I,22,Sample X214,211536
I,23,Sample X215,27559
I,24,Sample X216,26939
J,1,Sample X217,207276
J,2,Sample X218,210658
J,3,Sample X219,211669
J,4,Sample X220,208622
J,5,Sample X221,202648
J,6,Sample X222,201418
J,7,Sample X223,91094
J,8,Sample X224,173870
J,9,Sample X225,178794
J,10,Sample X226,188814
J,11,Sample X227,186669
J,12,Sample X228,187886
J,13,Sample X229,170334
J,14,Sample X230,212107
J,15,Sample X231,28267
J,16,Sample X232,65571
J,17,Sample X233,191908
J,18,Sample X234,195969
J,19,Sample X235,196871
J,20,Sample X236,200911
J,21,Sample X237,212351
J,22,Sample X238,222718
J,23,Sample X239,27140
J,24,Sample X240,26666
K,1,Sample X241,204505
K,2,Sample X242,208770
K,3,Sample X243,215621
K,4,Sample X244,211751
K,5,Sample X245,203780
K,6,Sample X246,203172
K,7,Sample X247,197913
K,8,Sample X248,36536
K,9,Sample X249,195691
K,10,Sample X250,37857
K,11,Sample X251,31397
K,12,Sample X252,31210
K,13,Sample X253,191125
K,14,Sample X254,193685
K,15,Sample X255,194794
K,16,Sample X256,195569
K,17,Sample X257,198891
K,18,Sample X258,199008
K,19,Sample X259,36556
K,20,Sample X260,199722
K,21,Sample X261,197432
K,22,Sample X262,199279
K,23,Sample X263,26554
K,24,Sample X264,26790
L,1,Sample X265,206165
L,2,Sample X266,217499
L,3,Sample X267,212579
L,4,Sample X268,212976
L,5,Sample X269,207078
L,6,Sample X270,204709
L,7,Sample X271,137912
L,8,Sample X272,200126
L,9,Sample X273,154455
L,10,Sample X274,196805
L,11,Sample X275,32421
L,12,Sample X276,34664
L,13,Sample X277,197358
L,14,Sample X278,197928
L,15,Sample X279,198572
L,16,Sample X280,205564
L,17,Sample X281,201040
L,18,Sample X282,203665
L,19,Sample X283,202300
L,20,Sample X284,205584
L,21,Sample X285,200928
L,22,Sample X286,199758
L,23,Sample X287,31180
L,24,Sample X288,31598
M,1,Sample X289,207025
M,2,Sample X290,210557
M,3,Sample X291,208310
M,4,Sample X292,208136
M,5,Sample X293,55057
M,6,Sample X294,204895
M,7,Sample X295,201515
M,8,Sample X296,196542
M,9,Sample X297,30714
M,10,Sample X298,164619
M,11,Sample X299,205541
M,12,Sample X300,205290
M,13,Sample X301,207860
M,14,Sample X302,207008
M,15,Sample X303,201158
M,16,Sample X304,200054
M,17,Sample X305,199693
M,18,Sample X306,201188
M,19,Sample X307,199920
M,20,Sample X308,198722
M,21,Sample X309,200467
M,22,Sample X310,200701
M,23,Sample X311,32453
M,24,Sample X312,82116
N,1,Sample X313,209438
N,2,Sample X314,212548
N,3,Sample X315,210254
N,4,Sample X316,210370
N,5,Sample X317,207394
N,6,Sample X318,30517
N,7,Sample X319,205869
N,8,Sample X320,203912
N,9,Sample X321,206946
N,10,Sample X322,31871
N,11,Sample X323,211038
N,12,Sample X324,211843
N,13,Sample X325,212592
N,14,Sample X326,213355
N,15,Sample X327,206713
N,16,Sample X328,207294
N,17,Sample X329,207248
N,18,Sample X330,88097
N,19,Sample X331,203515
N,20,Sample X332,203828
N,21,Sample X333,202828
N,22,Sample X334,202220
N,23,Sample X335,198875
N,24,Sample X336,198633
O,1,Sample X337,213424
O,2,Sample X338,212557
O,3,Sample X339,210008
O,4,Sample X340,209129
O,5,Sample X341,204676
O,6,Sample X342,203943
O,7,Sample X343,208404
O,8,Sample X344,201146
O,9,Sample X345,203842
O,10,Sample X346,206009
O,11,Sample X347,204628
O,12,Sample X348,207454
O,13,Sample X349,206779
O,14,Sample X350,206410
O,15,Sample X351,208818
O,16,Sample X352,207718
O,17,Sample X353,193808
O,18,Sample X354,194470
O,19,Sample X355,197967
O,20,Sample X356,200851
O,21,Sample X357,203187
O,22,Sample X358,201955
O,23,Sample X359,199761
O,24,Sample X360,199777
P,1,Sample X361,218223
P,2,Sample X362,212359
P,3,Sample X363,207404
P,4,Sample X364,207796
P,5,Sample X365,201382
P,6,Sample X366,205296
P,7,Sample X367,200811
P,8,Sample X368,197949
P,9,Sample X369,198972
P,10,Sample X370,202033
P,11,Sample X371,196204
P,12,Sample X372,202941
P,13,Sample X373,199040
P,14,Sample X374,199687
P,15,Sample X375,202366
P,16,Sample X376,201020
P,17,Sample X377,167478
P,18,Sample X378,189374
P,19,Sample X379,192446
P,20,Sample X380,196538
P,21,Sample X381,199038
P,22,Sample X382,199592
P,23,Sample X383,199011
P,24,Sample X384,197758
