User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 12218,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:31:01,
ID1: Nalm6wt_AxB-FDA-E-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,221069
A,2,Sample X2,217955
A,3,Sample X3,219032
A,4,Sample X4,214076
A,5,Sample X5,216697
A,6,Sample X6,211156
A,7,Sample X7,220393
A,8,Sample X8,211167
A,9,Sample X9,217500
A,10,Sample X10,212977
A,11,Sample X11,218563
A,12,Sample X12,215040
A,13,Sample X13,221842
A,14,Sample X14,217402
A,15,Sample X15,215348
A,16,Sample X16,210815
A,17,Sample X17,214498
A,18,Sample X18,212832
A,19,Sample X19,215315
A,20,Sample X20,210189
A,21,Sample X21,210750
A,22,Sample X22,207124
A,23,Sample X23,210191
A,24,Sample X24,207086
B,1,Sample X25,214111
B,2,Sample X26,219326
B,3,Sample X27,218298
B,4,Sample X28,219201
B,5,Sample X29,215273
B,6,Sample X30,215492
B,7,Sample X31,213839
B,8,Sample X32,212800
B,9,Sample X33,215026
B,10,Sample X34,222940
B,11,Sample X35,216430
B,12,Sample X36,217808
B,13,Sample X37,219051
B,14,Sample X38,226240
B,15,Sample X39,215852
B,16,Sample X40,216600
B,17,Sample X41,212615
B,18,Sample X42,215946
B,19,Sample X43,214959
B,20,Sample X44,216794
B,21,Sample X45,213395
B,22,Sample X46,215550
B,23,Sample X47,211035
B,24,Sample X48,208621
C,1,Sample X49,213733
C,2,Sample X50,215971
C,3,Sample X51,218396
C,4,Sample X52,212781
C,5,Sample X53,217269
C,6,Sample X54,212742
C,7,Sample X55,219180
C,8,Sample X56,208863
C,9,Sample X57,219715
C,10,Sample X58,213924
C,11,Sample X59,221874
C,12,Sample X60,213936
C,13,Sample X61,217104
C,14,Sample X62,208776
C,15,Sample X63,217278
C,16,Sample X64,210682
C,17,Sample X65,218624
C,18,Sample X66,210060
C,19,Sample X67,214892
C,20,Sample X68,208607
C,21,Sample X69,215331
C,22,Sample X70,210239
C,23,Sample X71,216504
