User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12219,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:34:01,
ID1: Nalm6wt_AxB-FDA-E-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,209082
A,2,Sample X2,206578
A,3,Sample X3,207406
A,4,Sample X4,208097
A,5,Sample X5,206226
A,6,Sample X6,206426
A,7,Sample X7,210987
A,8,Sample X8,211221
A,9,Sample X9,212558
A,10,Sample X10,215318
A,11,Sample X11,214959
A,12,Sample X12,215842
A,13,Sample X13,225029
A,14,Sample X14,225775
A,15,Sample X15,216060
A,16,Sample X16,213280
A,17,Sample X17,216408
A,18,Sample X18,216305
A,19,Sample X19,217404
A,20,Sample X20,216339
A,21,Sample X21,214488
A,22,Sample X22,212563
A,23,Sample X23,213210
A,24,Sample X24,211925
B,1,Sample X25,204872
B,2,Sample X26,207105
B,3,Sample X27,208079
B,4,Sample X28,210339
B,5,Sample X29,208888
B,6,Sample X30,210226
B,7,Sample X31,212731
B,8,Sample X32,211594
B,9,Sample X33,214378
B,10,Sample X34,222481
B,11,Sample X35,216491
B,12,Sample X36,219615
B,13,Sample X37,220590
B,14,Sample X38,228114
B,15,Sample X39,219328
B,16,Sample X40,218780
B,17,Sample X41,216648
B,18,Sample X42,221688
B,19,Sample X43,220039
B,20,Sample X44,221893
B,21,Sample X45,220077
B,22,Sample X46,222364
B,23,Sample X47,215713
B,24,Sample X48,210869
C,1,Sample X49,200784
C,2,Sample X50,204474
C,3,Sample X51,203662
C,4,Sample X52,205383
C,5,Sample X53,207595
C,6,Sample X54,208517
C,7,Sample X55,208712
C,8,Sample X56,206588
C,9,Sample X57,213144
C,10,Sample X58,213544
C,11,Sample X59,216022
C,12,Sample X60,213367
C,13,Sample X61,210624
C,14,Sample X62,211022
C,15,Sample X63,210822
C,16,Sample X64,213307
C,17,Sample X65,213818
C,18,Sample X66,213900
C,19,Sample X67,216048
C,20,Sample X68,215598
C,21,Sample X69,216708
C,22,Sample X70,216743
C,23,Sample X71,214583
C,24,Sample X72,207444
D,1,Sample X73,199114
D,2,Sample X74,201557
D,3,Sample X75,202303
D,4,Sample X76,203863
D,5,Sample X77,207882
D,6,Sample X78,205433
D,7,Sample X79,205059
D,8,Sample X80,205308
D,9,Sample X81,207744
D,10,Sample X82,208971
D,11,Sample X83,190588
D,12,Sample X84,216755
D,13,Sample X85,207216
D,14,Sample X86,206009
D,15,Sample X87,205124
D,16,Sample X88,207134
D,17,Sample X89,211301
D,18,Sample X90,211874
D,19,Sample X91,211733
D,20,Sample X92,213203
D,21,Sample X93,212827
D,22,Sample X94,213062
D,23,Sample X95,31328
D,24,Sample X96,40252
E,1,Sample X97,194588
E,2,Sample X98,27606
E,3,Sample X99,206705
E,4,Sample X100,207114
E,5,Sample X101,199800
E,6,Sample X102,200273
E,7,Sample X103,202584
E,8,Sample X104,198144
E,9,Sample X105,205118
E,10,Sample X106,206171
E,11,Sample X107,210795
E,12,Sample X108,209473
E,13,Sample X109,196104
E,14,Sample X110,200559
E,15,Sample X111,200085
E,16,Sample X112,201362
E,17,Sample X113,202688
E,18,Sample X114,204509
E,19,Sample X115,206059
E,20,Sample X116,207035
E,21,Sample X117,207996
E,22,Sample X118,209937
E,23,Sample X119,44224
E,24,Sample X120,38059
F,1,Sample X121,194329
F,2,Sample X122,37069
F,3,Sample X123,204337
F,4,Sample X124,202431
F,5,Sample X125,196902
F,6,Sample X126,197767
F,7,Sample X127,197396
F,8,Sample X128,196392
F,9,Sample X129,197982
F,10,Sample X130,201883
F,11,Sample X131,201784
F,12,Sample X132,30991
F,13,Sample X133,194682
F,14,Sample X134,195647
F,15,Sample X135,196260
F,16,Sample X136,197022
F,17,Sample X137,200220
F,18,Sample X138,202278
F,19,Sample X139,202927
F,20,Sample X140,200725
F,21,Sample X141,206600
