User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\\,Test run no.: 12222,
Test name: HB-Resazurin-384,Date: 01/12/2020,Time: 12:42:55,
ID1: Nalm6wt_AxB-FDA-F-02_n1_r2,,,
Fluorescence (FI),,,
,,,
Well Row,Well Col,Content,Raw Data (544/590)
A,1,Sample X1,215486
A,2,Sample X2,209522
A,3,Sample X3,214774
A,4,Sample X4,209675
A,5,Sample X5,209649
A,6,Sample X6,207738
A,7,Sample X7,210781
A,8,Sample X8,204694
A,9,Sample X9,212801
A,10,Sample X10,213930
A,11,Sample X11,215359
A,12,Sample X12,212225
A,13,Sample X13,219784
A,14,Sample X14,215401
A,15,Sample X15,195481
A,16,Sample X16,210215
A,17,Sample X17,210719
A,18,Sample X18,211012
A,19,Sample X19,217281
A,20,Sample X20,210424
A,21,Sample X21,214054
A,22,Sample X22,209168
A,23,Sample X23,210358
A,24,Sample X24,205801
B,1,Sample X25,208705
B,2,Sample X26,210335
B,3,Sample X27,208959
B,4,Sample X28,209961
B,5,Sample X29,209540
B,6,Sample X30,209246
B,7,Sample X31,206640
B,8,Sample X32,205226
B,9,Sample X33,213462
B,10,Sample X34,214418
B,11,Sample X35,212267
B,12,Sample X36,214624
B,13,Sample X37,217211
B,14,Sample X38,217751
B,15,Sample X39,211183
B,16,Sample X40,210909
B,17,Sample X41,209572
B,18,Sample X42,210998
B,19,Sample X43,213751
B,20,Sample X44,215006
B,21,Sample X45,212345
B,22,Sample X46,214023
B,23,Sample X47,205008
B,24,Sample X48,205042
C,1,Sample X49,209858
C,2,Sample X50,208929
C,3,Sample X51,210555
C,4,Sample X52,208466
C,5,Sample X53,216178
C,6,Sample X54,211028
C,7,Sample X55,214594
C,8,Sample X56,205502
C,9,Sample X57,210784
C,10,Sample X58,209409
C,11,Sample X59,216825
C,12,Sample X60,212417
C,13,Sample X61,211071
C,14,Sample X62,207096
C,15,Sample X63,213105
C,16,Sample X64,206313
C,17,Sample X65,210611
C,18,Sample X66,205781
C,19,Sample X67,212868
C,20,Sample X68,207158
C,21,Sample X69,214512
C,22,Sample X70,208178
C,23,Sample X71,212350
C,24,Sample X72,200816
D,1,Sample X73,209890
D,2,Sample X74,211691
D,3,Sample X75,207388
D,4,Sample X76,207972
D,5,Sample X77,213163
D,6,Sample X78,211181
D,7,Sample X79,206672
D,8,Sample X80,204622
D,9,Sample X81,205726
D,10,Sample X82,206094
D,11,Sample X83,207643
D,12,Sample X84,209067
D,13,Sample X85,203270
D,14,Sample X86,205224
D,15,Sample X87,203319
D,16,Sample X88,204672
D,17,Sample X89,201828
D,18,Sample X90,203681
D,19,Sample X91,204366
D,20,Sample X92,206104
D,21,Sample X93,206676
D,22,Sample X94,206708
D,23,Sample X95,35891
D,24,Sample X96,34155
E,1,Sample X97,212086
E,2,Sample X98,208057
E,3,Sample X99,229758
E,4,Sample X100,223278
E,5,Sample X101,214056
E,6,Sample X102,206057
E,7,Sample X103,209310
E,8,Sample X104,201922
E,9,Sample X105,209722
E,10,Sample X106,205121
E,11,Sample X107,212187
E,12,Sample X108,212153
E,13,Sample X109,209309
E,14,Sample X110,201724
E,15,Sample X111,204705
E,16,Sample X112,199669
E,17,Sample X113,204509
E,18,Sample X114,200860
E,19,Sample X115,191224
E,20,Sample X116,196303
E,21,Sample X117,205572
E,22,Sample X118,201582
E,23,Sample X119,40633
E,24,Sample X120,36639
F,1,Sample X121,206533
F,2,Sample X122,206783
F,3,Sample X123,221430
F,4,Sample X124,216885
F,5,Sample X125,204477
F,6,Sample X126,204104
F,7,Sample X127,203082
F,8,Sample X128,200124
F,9,Sample X129,203157
F,10,Sample X130,202092
F,11,Sample X131,207094
F,12,Sample X132,207125
F,13,Sample X133,197838
F,14,Sample X134,196374
F,15,Sample X135,195845
F,16,Sample X136,197205
F,17,Sample X137,198354
F,18,Sample X138,199598
F,19,Sample X139,196152
F,20,Sample X140,194452
F,21,Sample X141,198410
F,22,Sample X142,199274
F,23,Sample X143,41753
F,24,Sample X144,39807
G,1,Sample X145,209494
G,2,Sample X146,202344
G,3,Sample X147,211995
G,4,Sample X148,204231
G,5,Sample X149,208639
G,6,Sample X150,200578
G,7,Sample X151,204177
G,8,Sample X152,196419
G,9,Sample X153,202801
G,10,Sample X154,199102
G,11,Sample X155,191622
G,12,Sample X156,191832
G,13,Sample X157,196891
G,14,Sample X158,138951
G,15,Sample X159,198068
G,16,Sample X160,192300
G,17,Sample X161,197907
G,18,Sample X162,194206
G,19,Sample X163,199226
G,20,Sample X164,195829
